epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,288.572,1.68293,3.4756,1.57274,0.41943,0.4309,0.3592,0.1591,1.39213,7.11478,1.26487,0.00333239,0.00333239,0.00333239
2,614.856,1.73732,2.55275,1.59352,0.35438,0.35904,0.26717,0.11633,1.43147,3.35505,1.27615,0.00653374,0.00653374,0.00653374
3,903.818,1.84764,2.43691,1.68567,0.40273,0.35866,0.31654,0.12705,1.50409,3.18882,1.34878,0.00960309,0.00960309,0.00960309
4,1196.27,1.8836,2.32218,1.71653,0.47357,0.43603,0.42347,0.1919,1.43489,2.85085,1.32398,0.009406,0.009406,0.009406
5,1463.64,1.81827,2.23563,1.67714,0.45425,0.45174,0.3925,0.18114,1.3721,3.18435,1.24506,0.009208,0.009208,0.009208
6,1726.17,1.77283,2.09422,1.63391,0.51006,0.44874,0.4419,0.20663,1.36348,2.55328,1.26241,0.00901,0.00901,0.00901
7,1986.05,1.73673,2.03034,1.60891,0.54236,0.4848,0.49692,0.23998,1.31337,2.73495,1.21497,0.008812,0.008812,0.008812
8,2248.59,1.6988,1.91841,1.58974,0.57055,0.51268,0.52105,0.25966,1.30266,2.46623,1.20377,0.008614,0.008614,0.008614
9,2509.68,1.67597,1.88539,1.57117,0.59594,0.52896,0.55659,0.28231,1.27276,2.02412,1.18159,0.008416,0.008416,0.008416
10,2770.96,1.66234,1.84322,1.55678,0.63479,0.50658,0.56025,0.2856,1.23496,1.93521,1.1585,0.008218,0.008218,0.008218
11,3030.68,1.63711,1.80075,1.54234,0.619,0.54745,0.59336,0.30713,1.24351,1.85689,1.16462,0.00802,0.00802,0.00802
12,3293.17,1.62845,1.74824,1.53187,0.63564,0.54697,0.58154,0.30219,1.24819,1.68778,1.16472,0.007822,0.007822,0.007822
13,3555.57,1.60688,1.72983,1.51637,0.64133,0.55217,0.60411,0.31878,1.23213,1.66398,1.15167,0.007624,0.007624,0.007624
14,3817.64,1.60062,1.70747,1.51354,0.62873,0.57747,0.61328,0.32431,1.22253,1.66727,1.14193,0.007426,0.007426,0.007426
15,4082.04,1.57539,1.65756,1.49528,0.64909,0.58232,0.62934,0.337,1.19458,1.81556,1.11911,0.007228,0.007228,0.007228
16,4354.08,1.56943,1.64435,1.48724,0.64318,0.58222,0.62615,0.34008,1.19997,1.52379,1.11682,0.00703,0.00703,0.00703
17,4621.44,1.56366,1.5999,1.48744,0.65411,0.58607,0.6305,0.3402,1.181,1.59248,1.12444,0.006832,0.006832,0.006832
18,4887.67,1.56099,1.58506,1.47485,0.65889,0.60297,0.64897,0.34871,1.18178,1.59462,1.10401,0.006634,0.006634,0.006634
19,5149.59,1.52407,1.57157,1.45972,0.65051,0.59974,0.64185,0.35098,1.17099,1.46392,1.10188,0.006436,0.006436,0.006436
20,5403.84,1.51994,1.56718,1.4536,0.6598,0.60756,0.65061,0.35569,1.17634,1.49558,1.10369,0.006238,0.006238,0.006238
21,5657.3,1.51381,1.53961,1.45291,0.66459,0.60082,0.65076,0.35654,1.16881,1.42693,1.10831,0.00604,0.00604,0.00604
22,5948.49,1.50883,1.51414,1.44628,0.67361,0.62088,0.66877,0.36867,1.15938,1.40279,1.08928,0.005842,0.005842,0.005842
23,6211.41,1.49964,1.48901,1.43119,0.69121,0.60587,0.67386,0.37664,1.14968,1.45394,1.07524,0.005644,0.005644,0.005644
24,6475.24,1.49842,1.4697,1.43228,0.69846,0.62699,0.6853,0.38144,1.14819,1.36226,1.07737,0.005446,0.005446,0.005446
25,6763.28,1.48719,1.45345,1.42097,0.68824,0.63988,0.68703,0.38352,1.14537,1.38801,1.07411,0.005248,0.005248,0.005248
26,7009.38,1.46334,1.44375,1.4094,0.69732,0.63185,0.69301,0.38773,1.14438,1.29578,1.07652,0.00505,0.00505,0.00505
27,7339.69,1.47893,1.44126,1.41337,0.69244,0.63681,0.69625,0.38977,1.13882,1.3215,1.06916,0.004852,0.004852,0.004852
28,7675.58,1.46422,1.41561,1.40862,0.69087,0.63315,0.69467,0.3905,1.13349,1.29865,1.06577,0.004654,0.004654,0.004654
29,7933.67,1.46482,1.40537,1.39796,0.70256,0.63623,0.69784,0.39387,1.13287,1.27058,1.0668,0.004456,0.004456,0.004456
30,8179.33,1.44189,1.38186,1.39379,0.71184,0.64359,0.70733,0.40185,1.12623,1.24353,1.06144,0.004258,0.004258,0.004258
31,8427.52,1.44127,1.36952,1.39227,0.71872,0.64799,0.70872,0.39991,1.11592,1.26178,1.05417,0.00406,0.00406,0.00406
32,8674.98,1.43203,1.35029,1.38142,0.71749,0.64712,0.7132,0.40408,1.11146,1.25418,1.05035,0.003862,0.003862,0.003862
33,8933.59,1.4263,1.34629,1.37757,0.70461,0.64907,0.71214,0.40253,1.11952,1.22035,1.0527,0.003664,0.003664,0.003664
34,9191.21,1.41584,1.32256,1.37162,0.70893,0.6514,0.71145,0.40366,1.12132,1.17943,1.05081,0.003466,0.003466,0.003466
35,9441.3,1.4042,1.30643,1.36406,0.71586,0.65043,0.71927,0.41041,1.11458,1.1489,1.04642,0.003268,0.003268,0.003268
36,9685.34,1.39822,1.30531,1.36187,0.72575,0.65615,0.72407,0.41231,1.10944,1.14512,1.04854,0.00307,0.00307,0.00307
37,9932.03,1.39797,1.277,1.36118,0.70841,0.66143,0.72548,0.41275,1.10746,1.1619,1.04325,0.002872,0.002872,0.002872
38,10178.3,1.39828,1.27907,1.35712,0.72896,0.65736,0.72553,0.41431,1.10227,1.14401,1.04265,0.002674,0.002674,0.002674
39,10425.3,1.3951,1.27143,1.3606,0.72164,0.65573,0.73034,0.41912,1.10318,1.14315,1.0392,0.002476,0.002476,0.002476
40,10668.6,1.37634,1.2483,1.34346,0.71777,0.67302,0.73478,0.41992,1.1066,1.13161,1.04151,0.002278,0.002278,0.002278
41,10926.2,1.37378,1.20722,1.30996,0.738,0.65528,0.73019,0.4179,1.10626,1.0906,1.03731,0.00208,0.00208,0.00208
42,11160.8,1.35904,1.16204,1.3091,0.73393,0.65434,0.73043,0.42027,1.10395,1.04814,1.03667,0.001882,0.001882,0.001882
43,11392.6,1.34662,1.14352,1.29555,0.74303,0.65777,0.73473,0.42164,1.1037,1.00475,1.03638,0.001684,0.001684,0.001684
44,11623.9,1.34548,1.12199,1.29659,0.7482,0.65161,0.7339,0.42251,1.10526,1.00021,1.0372,0.001486,0.001486,0.001486
45,11863.5,1.32685,1.11229,1.28825,0.74823,0.6596,0.73654,0.42374,1.10496,0.99084,1.03924,0.001288,0.001288,0.001288
46,12105.3,1.32643,1.09762,1.28172,0.7327,0.6663,0.7346,0.42382,1.10508,0.98197,1.04014,0.00109,0.00109,0.00109
47,12344,1.30327,1.05672,1.26614,0.73871,0.6627,0.73781,0.42614,1.10465,0.97417,1.04124,0.000892,0.000892,0.000892
48,12582.1,1.29393,1.05971,1.26557,0.73801,0.66607,0.73987,0.42593,1.1031,0.97045,1.04105,0.000694,0.000694,0.000694
49,12821.5,1.29236,1.0462,1.26517,0.73647,0.6702,0.74102,0.4265,1.10343,0.96324,1.04092,0.000496,0.000496,0.000496
50,13058.1,1.29197,1.02281,1.25659,0.73319,0.66876,0.73995,0.42647,1.10504,0.95109,1.04086,0.000298,0.000298,0.000298
